schedule_uuid,term_code,Avg_A rate,Var_A rate,start_time,end_time,mon,tues,wed,thurs,fri,sat,sun
33d229b1-6d41-3cd7-afe4-b612f607d499,1182,1,0,1020,1095,false,false,true,false,false,false,false
33dc0a6f-8777-3ed4-b835-339305dd8577,1182,1,0,540,690,false,false,true,false,false,false,false
342ca05c-1dfd-3de0-aaa1-9492b2d74c14,1182,1,0,435,510,false,true,false,true,false,false,false
342ffc0a-f2e8-363c-a97d-48d2494b2eb4,1182,1,0,870,1020,false,false,false,true,false,false,false
3517aea1-7c19-3276-8385-776ac458d8b1,1182,1,0,540,660,false,false,false,false,true,false,false
36150af7-c431-3604-b06f-13386a61225b,1182,1,0,600,675,true,false,true,false,false,false,false
368a25af-a5c2-3124-b23c-b75758e0af70,1182,1,0,555,645,false,true,false,false,false,false,false
36c465e5-5653-3473-abd6-cfdf728b24e0,1182,1,0,1050,1200,false,true,false,true,false,false,false
36d71dd0-3d91-388c-b5ce-57daa4a692ca,1182,1,0,1080,1200,false,true,false,false,false,false,false
370a1503-a6a6-3e2c-a005-fe52b8ac5558,1182,1,0,930,980,true,false,false,false,false,false,false
3786503b-9c99-3ecc-ba29-d53745b94be4,1182,1,0,945,1035,false,false,false,true,false,false,false
380c266a-78c9-37ee-9ff7-b258086509a6,1182,1,0,1050,1140,false,false,true,false,false,false,false
382d82bf-6830-3130-a1ee-733164b23e5f,1182,1,0,950,1050,false,true,false,true,false,false,false
3851b508-d4cd-3c53-8afd-a0f832ce91ca,1182,1,0,800,950,true,false,false,false,false,false,false
38a0f9f1-0dc9-396c-98c7-267e0a62a414,1182,1,0,800,1025,false,false,true,false,true,false,false
39aa3349-df98-35ff-9831-693c96094d52,1182,1,0,870,945,true,false,false,false,false,false,false
3a3726f1-296a-3c23-812b-657dcc0a4ab5,1182,1,0,960,1110,false,false,false,true,false,false,false
3ab4a6da-d651-3b5a-b33c-2c6d255bbcbd,1182,1,0,540,615,false,true,false,true,false,false,false
3bee9d92-4558-3428-803f-559261dae963,1182,1,0,1020,1200,false,false,true,false,false,false,false
3c7aaa51-734f-312e-93fc-bd13db236387,1182,1,0,1155,1275,false,true,false,false,false,false,false
3df83fd8-71b5-3c32-854a-ebd391facffb,1182,1,0,745,865,false,true,false,false,false,false,false
4011a2c4-6671-3a3c-bfa3-7b42f8fec897,1182,1,0,870,960,false,true,false,true,false,false,false
40995050-615b-3497-b1ed-5cc78a1998a5,1182,1,0,865,1015,false,false,false,true,false,false,false
43e13c57-f64b-312b-a7f9-284c358d30c0,1182,1,0,660,760,true,false,true,false,false,false,false
44d1e459-5fce-3af4-acdd-b6a621814376,1182,1,0,1095,1255,false,false,false,true,false,false,false
44fd115e-e4c0-3505-bb8e-198419e09078,1182,1,0,865,1015,true,false,false,false,false,false,false
455967b9-fb7d-3fb5-abbd-17288b3e734e,1182,1,0,810,960,false,false,false,false,true,false,false
45c4be96-81fb-3101-880f-9247f2696987,1182,1,0,595,660,false,true,false,false,false,false,false
46228be2-75e5-3a91-b417-2858791cc0e1,1182,1,0,1185,1240,false,true,false,false,false,false,false
4655e353-09f3-30c4-9a6a-f90e6df4823d,1182,1,0,1155,1230,false,false,true,false,false,false,false
4740e11a-bab7-35c9-a3ef-607b9289adc3,1182,1,0,930,1030,true,false,true,false,false,false,false
488512b0-55c4-37eb-8ef3-f6c2edb595c9,1182,1,0,990,1155,true,false,false,false,false,false,false
48fd4e0a-30c9-3ad7-bfcd-79b9895ed868,1182,1,0,720,780,false,false,false,true,false,false,false
49087d6f-7477-3bc8-a588-6f9a4f1971a3,1182,1,0,780,855,true,false,false,false,false,false,false
